 Sample ID, Sample well, Sample volume (ml), Dilution factor, Events to Acquire, Time Limit, Replicates, Autosave FCS 2.0 files, Mix Time (sec), Mix Speed (rpm),, General settings, 
C6.5, F2,0.2,1,10000,600, No, No,3,Medium,,,
C7, F3,0.2,1,10000,600, No, No,3,Medium,,,
C8, F4,0.2,1,10000,600, No, No,3,Medium,,,
C9, F5,0.2,1,10000,600, No, No,3,Medium,,,
C10, F6,0.2,1,10000,600, No, No,3,Medium,,,
C11, F7,0.2,1,10000,600, No, No,3,Medium,,,
C11_P, F8,0.2,1,10000,600, No, No,3,Medium,,,
C12, F9,0.2,1,10000,600, No, No,3,Medium,,,
C13, F10,0.2,1,10000,600, No, No,3,Medium,,,
C15, F11,0.2,1,10000,600, No, No,3,Medium,,,
, F12,0.2,1,10000,600, No, No,3,Medium,,,
D0, G1,0.2,1,10000,600, No, No,3,Medium,,,
D0.5, G2,0.2,1,10000,600, No, No,3,Medium,,,
D1, G3,0.2,1,10000,600, No, No,3,Medium,,,
D1.5, G4,0.2,1,10000,600, No, No,3,Medium,,,
D2, G5,0.2,1,10000,600, No, No,3,Medium,,,
D2.5, G6,0.2,1,10000,600, No, No,3,Medium,,,
D3, G7,0.2,1,10000,600, No, No,3,Medium,,,
D3.5, G8,0.2,1,10000,600, No, No,3,Medium,,,
D4, G9,0.2,1,10000,600, No, No,3,Medium,,,
D4.5, G10,0.2,1,10000,600, No, No,3,Medium,,,
D5, G11,0.2,1,10000,600, No, No,3,Medium,,,
D5.5, G12,0.2,1,10000,600, No, No,3,Medium,,,
D6, H1,0.2,1,10000,600, No, No,3,Medium,,,
D6.5, H2,0.2,1,10000,600, No, No,3,Medium,,,
D7, H3,0.2,1,10000,600, No, No,3,Medium,,,
D8, H4,0.2,1,10000,600, No, No,3,Medium,,,
D9, H5,0.2,1,10000,600, No, No,3,Medium,,,
D10, H6,0.2,1,10000,600, No, No,3,Medium,,,
D11, H7,0.2,1,10000,600, No, No,3,Medium,,,
D11_P, H8,0.2,1,10000,600, No, No,3,Medium,,,
D12, H9,0.2,1,10000,600, No, No,3,Medium,,,
D13, H10,0.2,1,10000,600, No, No,3,Medium,,,
D15, H11,0.2,1,10000,600, No, No,3,Medium,,,
, H12,0.2,1,10000,600, No, No,3,Medium,,,
