 Sample ID, Sample well, Sample volume (ml), Dilution factor, Events to Acquire, Time Limit, Replicates, Autosave FCS 2.0 files, Mix Time (sec), Mix Speed (rpm),, General settings, 
, T1,0.25,1,10000,600, No, No,3,Medium,,Assay Type, InCyte
, T2,0.25,1,10000,600, No, No,3,Medium,,Acquisition Order, by Row
, T3,0.25,1,10000,600, No, No,3,Medium,,Do Clean,Once at the end of plate
, T4,0.25,1,10000,600, No, No,3,Medium,,Wash only capillary,No
, T5,0.25,1,10000,600, No, No,3,Medium,,Wash both capillary and mixer,Yes
, T6,0.25,1,10000,600, No, No,3,Medium,,Mixing,Yes
, T7,0.25,1,10000,600, No, No,3,Medium,,Cleaning Option,Clean and Rinse
, T8,0.25,1,10000,600, No, No,3,Medium,,Limit for high concentration warning (cells/µL),500
, T9,0.25,1,10000,600, No, No,3,Medium,,Park Capillary,T09
, T10,0.25,1,10000,600, No, No,3,Medium,,,
A0, A1,0.2,1,10000,600,2, No,3,Medium,,,
A0.5, A2,0.2,1,10000,600,2, No,3,Medium,,,
A1, A3,0.2,1,10000,600,2, No,3,Medium,,,
A1.5, A4,0.2,1,10000,600,2, No,3,Medium,,,
A2, A5,0.2,1,10000,600,2, No,3,Medium,,,
A2.5, A6,0.2,1,10000,600,2, No,3,Medium,,,
A3, A7,0.2,1,10000,600,2, No,3,Medium,,,
A3.5, A8,0.2,1,10000,600,2, No,3,Medium,,,
A4, A9,0.2,1,10000,600,2, No,3,Medium,,,
A4.5, A10,0.2,1,10000,600,2, No,3,Medium,,,
A5, A11,0.2,1,10000,600,2, No,3,Medium,,,
A5.5, A12,0.2,1,10000,600,2, No,3,Medium,,,
A6, B1,0.2,1,10000,600,2, No,3,Medium,,,
A6.5, B2,0.2,1,10000,600,2, No,3,Medium,,,
A7, B3,0.2,1,10000,600,2, No,3,Medium,,,
A8, B4,0.2,1,10000,600,2, No,3,Medium,,,
A9, B5,0.2,1,10000,600,2, No,3,Medium,,,
A10, B6,0.2,1,10000,600,2, No,3,Medium,,,
A11, B7,0.2,1,10000,600,2, No,3,Medium,,,
A11_P, B8,0.2,1,10000,600,2, No,3,Medium,,,
A12, B9,0.2,1,10000,600,2, No,3,Medium,,,
A13, B10,0.2,1,10000,600,2, No,3,Medium,,,
A15, B11,0.2,1,10000,600,2, No,3,Medium,,,
, B12,0.2,1,10000,600,2, No,3,Medium,,,
B0, C1,0.2,1,10000,600,2, No,3,Medium,,,
B0.5, C2,0.2,1,10000,600,2, No,3,Medium,,,
B1, C3,0.2,1,10000,600,2, No,3,Medium,,,
B1.5, C4,0.2,1,10000,600,2, No,3,Medium,,,
B2, C5,0.2,1,10000,600,2, No,3,Medium,,,
B2.5, C6,0.2,1,10000,600,2, No,3,Medium,,,
B3, C7,0.2,1,10000,600,2, No,3,Medium,,,
B3.5, C8,0.2,1,10000,600,2, No,3,Medium,,,
B4, C9,0.2,1,10000,600,2, No,3,Medium,,,
B4.5, C10,0.2,1,10000,600,2, No,3,Medium,,,
B5, C11,0.2,1,10000,600,2, No,3,Medium,,,
B5.5, C12,0.2,1,10000,600,2, No,3,Medium,,,
B6, D1,0.2,1,10000,600,2, No,3,Medium,,,
B6.5, D2,0.2,1,10000,600,2, No,3,Medium,,,
B7, D3,0.2,1,10000,600,2, No,3,Medium,,,
B8, D4,0.2,1,10000,600,2, No,3,Medium,,,
B9, D5,0.2,1,10000,600,2, No,3,Medium,,,
B10, D6,0.2,1,10000,600,2, No,3,Medium,,,
B11, D7,0.2,1,10000,600,2, No,3,Medium,,,
B11_P, D8,0.2,1,10000,600,2, No,3,Medium,,,
B12, D9,0.2,1,10000,600,2, No,3,Medium,,,
B13, D10,0.2,1,10000,600,2, No,3,Medium,,,
B15, D11,0.2,1,10000,600,2, No,3,Medium,,,
, D12,0.2,1,10000,600,2, No,3,Medium,,,
C0, E1,0.2,1,10000,600,2, No,3,Medium,,,
C0.5, E2,0.2,1,10000,600,2, No,3,Medium,,,
C1, E3,0.2,1,10000,600,2, No,3,Medium,,,
C1.5, E4,0.2,1,10000,600,2, No,3,Medium,,,
C2, E5,0.2,1,10000,600, No, No,3,Medium,,,
C2.5, E6,0.2,1,10000,600, No, No,3,Medium,,,
C3, E7,0.2,1,10000,600, No, No,3,Medium,,,
C3.5, E8,0.2,1,10000,600, No, No,3,Medium,,,
C4, E9,0.2,1,10000,600, No, No,3,Medium,,,
C4.5, E10,0.2,1,10000,600, No, No,3,Medium,,,
C5, E11,0.2,1,10000,600, No, No,3,Medium,,,
C5.5, E12,0.2,1,10000,600, No, No,3,Medium,,,
C6, F1,0.2,1,10000,600, No, No,3,Medium,,,
