  Well ,  Sample ID ,  Date , CN25.P05.CN25.Concentration Concentration for CN25 gated by P05.CN25  (cells/mL) , HNA.Percent Percent for HNA gated by P05.PotentialPostives  (%) , HNA.Concentration Concentration for HNA gated by P05.PotentialPostives  (cells/mL) , all_cells.Concentration Concentration for all_cells gated by P05.PotentialPostives  (cells/mL) 
 D06, B10-Rep 002, 04.08.2019,644322.9324,50.41,376539.7521,627889.9339
 D07, B11-Rep 001, 04.08.2019,395766.8588,52.02,236750.1379,387028.6761
 D07, B11-Rep 002, 04.08.2019,386506.4372,49.77,227219.7659,381804.0792
 D08, B11_P-Rep 001, 04.08.2019,680912.9825,54.18,417659.5199,657478.4136
 D08, B11_P-Rep 002, 04.08.2019,675003.1039,50.14,387327.256,639004.9983
 D09, B12-Rep 001, 04.08.2019,329387.569,47.62,184969.7646,323755.3523
 D09, B12-Rep 002, 04.08.2019,326120.6864,46.18,179609.4609,318614.2711
 D10, B13-Rep 001, 04.08.2019,290800.0267,46.73,161237.3665,281552.9446
 D10, B13-Rep 002, 04.08.2019,300092.6697,44.58,162080.5817,289476.3552
 D11, B15-Rep 001, 04.08.2019,208837.2081,34.45,101373.0001,218400.6987
 D11, B15-Rep 002, 04.08.2019,217917.7319,30.75,95360.3281,217886.7204
 E01, C0-Rep 001, 04.08.2019,79214.14623,18.19,21227.24396,81081.30348
 E01, C0-Rep 002, 04.08.2019,38736.32135,17.1163575,10252.24672,40776.66996
 E02, C0.5-Rep 001, 04.08.2019,213166.4932,41.43,102157.1754,206065.0531
 E02, C0.5-Rep 002, 04.08.2019,208533.7345,37.92,93525.71509,203995.5668
 E03, C1-Rep 001, 04.08.2019,345346.6546,44.56,173198.0521,327078.4579
 E03, C1-Rep 002, 04.08.2019,337818.5231,41.44,160118.9477,321049.309
 E04, C1.5-Rep 001, 04.08.2019,711925.0631,47.91,367190.5455,660651.7434
 E04, C1.5-Rep 002, 04.08.2019,709519.1364,45.51,350637.5925,658360.4105
 E05, C2, 04.08.2019,786569.7567,42.17,363184.5685,720426.5865
 E06, C2.5, 04.08.2019,863497.2198,47.62,444489.6509,799932.0261
 E07, C3, 04.08.2019,786440.9511,47.02,405154.5253,730949.7741
 E08, C3.5, 04.08.2019,944280.8541,50.56,518718.3831,900472.9526
 E09, C4, 04.08.2019,755720.9186,44.85,383417.2307,719388.1821
 E10, C4.5, 04.08.2019,934392.7525,34.74,362893.2836,904412.795
 E11, C5, 04.08.2019,713296.4772,34.01,285167.6642,687638.9338
 E12, C5.5, 04.08.2019,964811.8542,32.87,362066.0537,937494.4275
 F01, C6, 04.08.2019,674833.3003,28.37,237384.014,681108.8735
 F02, C6.5, 04.08.2019,900001.7738,31.76,334433.7936,885786.2316
 F03, C7, 04.08.2019,759580.6091,29.89,275733.1116,764469.8212
 F04, C8, 04.08.2019,787899.8541,31.07,292963.7203,780356.5334
 F05, C9, 04.08.2019,723631.71,32.45,287908.889,751136.1031
 F06, C10, 04.08.2019,675629.3792,33.49,270267.8919,673208.347
 F07, C11, 04.08.2019,460076.364,30.79,172395.6583,460972.2167
 F08, C11_P, 04.08.2019,555301.3623,29.98,204595.4878,546020.1793
